id,approved,title
NULL,1,Aalborg University
NULL,1,Aalto University
NULL,1,Aarhus University
NULL,1,Abant Izzet Baysal University
NULL,1,Abdelmalek Essaadi University
NULL,1,Aberystwyth University
NULL,1,Abilene Christian University
NULL,1,Abo Akademi University
NULL,1,Academic Center for Dentistry Amsterdam
NULL,1,Academy of Art College
NULL,1,Acadia University
NULL,1,Acibadem University
NULL,1,Adam Mickiewicz University
NULL,1,Adams State College
NULL,1,Addis Ababa University
NULL,1,Adelphi University
NULL,1,Adiyaman University
NULL,1,Adler School of Professional Psychology
NULL,1,Adnan Menderes University
NULL,1,Adrian College
NULL,1,Afyon Kocatepe University
NULL,1,Aga Khan University
NULL,1,AGH University of Science & Technology
NULL,1,Agnes Scott College
NULL,1,Agricultural University Krakow
NULL,1,Agricultural University Lublin
NULL,1,Agricultural University of Athens
NULL,1,Ahi Evran University
NULL,1,Ahmadu Bello University
NULL,1,Aichi Gakuin University
NULL,1,Aichi Medical University
NULL,1,Ain Shams University
NULL,1,Air Force Institute of Technology
NULL,1,Ajou University
NULL,1,Akdeniz University
NULL,1,Akita Prefectural University
NULL,1,Akita University
NULL,1,Aksaray University
NULL,1,Alabama Agricultural and Mechanical University
NULL,1,Alabama State University
NULL,1,Alagappa University
NULL,1,Alaska Bible College
NULL,1,Alaska Pacific University
NULL,1,Al Azhar University
NULL,1,Al-Balqa Applied University
NULL,1,Albany College of Pharmacy
NULL,1,Albany Law School
NULL,1,Albany Medical Center
NULL,1,Albany State University
NULL,1,Albertus Magnus College
NULL,1,Albion College
NULL,1,Albright College
NULL,1,Alcorn State University
NULL,1,Alderson Broaddus College
NULL,1,Alexandria University
NULL,1,Alexandru Ioan Cuza University
NULL,1,Alfaisal University
NULL,1,Al-Farabi Kazakh National University
NULL,1,Alfred Adler Graduate School
NULL,1,Alfred University
NULL,1,Alice Lloyd College
NULL,1,Aligarh Muslim University
NULL,1,Allegheny College
NULL,1,Allen University
NULL,1,Alma College
NULL,1,Alvernia College
NULL,1,Alverno College
NULL,1,Ambassador University
NULL,1,Amber University
NULL,1,American Academy of Nutrition
NULL,1,American Business & Technology University
NULL,1,American Conservatory of Music
NULL,1,American Conservatory Theater
NULL,1,American-European School of Management
NULL,1,American Film Institute Center for Advanced Film and Television Studies
NULL,1,American Graduate School of International Management
NULL,1,American Indian College of the Assemblies of God
NULL,1,American InterContinental University - Atlanta
NULL,1,American InterContinental University - Ft. Lauderdale
NULL,1,American InterContinental University - Georgia
NULL,1,American InterContinental University Online
NULL,1,American International College
NULL,1,American Jewish University
NULL,1,American Military University
NULL,1,American Public University
NULL,1,American University
NULL,1,American University Cairo
NULL,1,American University of Beirut
NULL,1,American University Sharjah
NULL,1,American World University
NULL,1,Amherst College
NULL,1,Amirkabir University of Technology
NULL,1,Amity University
NULL,1,Anadolu University
NULL,1,Anderson College
NULL,1,Anderson University
NULL,1,Andhra University
NULL,1,Andon College - Modesto
NULL,1,Andon College - Stockton
NULL,1,Andong National University
NULL,1,Andrew Jackson University
NULL,1,Andrews University
NULL,1,Angelo State University
NULL,1,Anglia Ruskin University
NULL,1,Anhui Agricultural University
NULL,1,Anhui Medical University
NULL,1,Anhui Normal University
NULL,1,Anhui University
NULL,1,Anhui University of Technology
NULL,1,Ankara University
NULL,1,Annamalai University
NULL,1,Anna Maria College
NULL,1,Anna University
NULL,1,Anna University Chennai
NULL,1,Antioch New England Graduate School
NULL,1,Antioch University
NULL,1,Antioch University Los Angeles
NULL,1,Antioch University Santa Barbara
NULL,1,Antioch University Seattle
NULL,1,Aoyama Gakuin University
NULL,1,Appalachian Bible College
NULL,1,Appalachian State University
NULL,1,Aquinas College
NULL,1,Arcadia University
NULL,1,Argosy University
NULL,1,Argosy University - Hawaii
NULL,1,Arid Agriculture University
NULL,1,Aristotle University of Thessaloniki
NULL,1,Arizona State University
NULL,1,Arizona State University Polytechnic Campus
NULL,1,Arizona State University West Campus
NULL,1,Arkansas State University
NULL,1,Arkansas State University Beebe
NULL,1,Arkansas State University Mountain Home
NULL,1,Arkansas State University Newport
NULL,1,Arkansas Tech University
NULL,1,Arlington Baptist College
NULL,1,Armstrong Atlantic State University
NULL,1,Armstrong University
NULL,1,Art Academy of Cincinnati
NULL,1,Art Center College of Design
NULL,1,Arthur D. Little Management Education Institute
NULL,1,Art Institute of Charlotte
NULL,1,Art Institute of Southern California
NULL,1,Asahikawa Medical College
